ASM104561v2	SAMN03161113	GCF_001045615.1
ASM104562v1	SAMN03112991	GCF_001045625.1
ASM104571v1	SAMN02777053	GCF_001045715.1
ASM104572v1	SAMN02777049	GCF_001045725.1
ASM104574v1	SAMN02777946	GCF_001045745.1
ASM104577v1	SAMN02780904	GCF_001045775.1
ASM104579v2	SAMN02767090	GCF_001045795.2
ASM104580v1	SAMN02777001	GCF_001045805.1
ASM104583v1	SAMN02777033	GCF_001045835.1
ASM104585v1	SAMN02777051	GCF_001045855.1
ASM104586v1	SAMN02777035	GCF_001045865.1
ASM104589v1	SAMN02777062	GCF_001045895.1
ASM104590v1	SAMN02777075	GCF_001045905.1
ASM104593v1	SAMN02777076	GCF_001045935.1
ASM104595v1	SAMN02777079	GCF_001045955.1
ASM104597v1	SAMN02777080	GCF_001045975.1
ASM104599v2	SAMN02767311	GCF_001045995.2
ASM104601v1	SAMN02777947	GCF_001046015.1
ASM104603v1	SAMN02780896	GCF_001046035.1
ASM104605v1	SAMN02777948	GCF_001046055.1
ASM104607v1	SAMN02786764	GCF_001046075.1
ASM104609v2	SAMN02743812	GCF_001046095.2
ASM104610v1	SAMN02786765	GCF_001046105.1
ASM104613v1	SAMN02786786	GCF_001046135.1
ASM104614v1	SAMN02795854	GCF_001046145.1
ASM104617v1	SAMN02795921	GCF_001046175.1
ASM104619v1	SAMN02795922	GCF_001046195.1
ASM104621v1	SAMN02795938	GCF_001046215.1
ASM104623v1	SAMN02795939	GCF_001046235.1
ASM104625v1	SAMN02780897	GCF_001046255.1
ASM104626v1	SAMN02780902	GCF_001046265.1
ASM104629v1	SAMN02795940	GCF_001046295.1
ASM104631v1	SAMN02795943	GCF_001046315.1
ASM104633v1	SAMN02795946	GCF_001046335.1
ASM104634v1	SAMN02795976	GCF_001046345.1
ASM104637v1	SAMN02795977	GCF_001046375.1
ASM104639v1	SAMN02796021	GCF_001046395.1
ASM104640v1	SAMN02786789	GCF_001046405.1
ASM104643v1	SAMN02786792	GCF_001046435.1
ASM104644v1	SAMN02787040	GCF_001046445.1
ASM104647v1	SAMN02795917	GCF_001046475.1
ASM104648v1	SAMN02795918	GCF_001046485.1
ASM104650v1	SAMN02795923	GCF_001046505.1
ASM104653v1	SAMN02795941	GCF_001046535.1
ASM104655v1	SAMN02795953	GCF_001046555.1
ASM104657v1	SAMN02795954	GCF_001046575.1
ASM104658v1	SAMN02795975	GCF_001046585.1
ASM104661v1	SAMN02796022	GCF_001046615.1
5139_7#5	SAMEA862547	GCF_001047755.1
7748_4#4	SAMEA1324588	GCF_001047795.1
7748_4#3	SAMEA1324595	GCF_001047815.1
7748_4#5	SAMEA1324644	GCF_001047835.1
7748_4#1	SAMEA1324675	GCF_001047855.1
7748_4#2	SAMEA1324689	GCF_001047875.1
AH1	SAMEA3360369	GCF_001049575.1
Staphylococcus aureus AH2	SAMEA3360370	GCF_001049595.1
Staphylococcus aureus AH3	SAMEA3360371	GCF_001049615.1
Staphylococcus aureus SH1	SAMEA3360372	GCF_001049635.1
Staphylococcus aureus SH2	SAMEA3360373	GCF_001049655.1
Staphylococcus aureus SH1	SAMEA3360372	GCF_001049675.1
Staphylococcus aureus SH2	SAMEA3360373	GCF_001049695.1
ASM106009v1	SAMN03196998	GCF_001060095.1
ASM106012v1	SAMN03196994	GCF_001060125.1
ASM106013v1	SAMN03196980	GCF_001060135.1
ASM106022v1	SAMN03197034	GCF_001060225.1
ASM106025v1	SAMN03197036	GCF_001060255.1
ASM106026v1	SAMN03197057	GCF_001060265.1
ASM106041v1	SAMN03197114	GCF_001060415.1
ASM106050v1	SAMN03197153	GCF_001060505.1
ASM106053v1	SAMN03197154	GCF_001060535.1
ASM106057v1	SAMN03197177	GCF_001060575.1
ASM106061v1	SAMN03197193	GCF_001060615.1
ASM106066v1	SAMN03197211	GCF_001060665.1
ASM106070v1	SAMN03197228	GCF_001060705.1
ASM106079v1	SAMN03197254	GCF_001060795.1
ASM106087v1	SAMN03196979	GCF_001060875.1
ASM106090v1	SAMN03197038	GCF_001060905.1
ASM106091v1	SAMN03197037	GCF_001060915.1
ASM106095v1	SAMN03197039	GCF_001060955.1
ASM106097v1	SAMN03197040	GCF_001060975.1
ASM106098v1	SAMN03197061	GCF_001060985.1
ASM106099v1	SAMN03197051	GCF_001060995.1
ASM106103v1	SAMN03197075	GCF_001061035.1
ASM106106v1	SAMN03197077	GCF_001061065.1
ASM106107v1	SAMN03197094	GCF_001061075.1
ASM106113v1	SAMN03197139	GCF_001061135.1
ASM106115v1	SAMN03197112	GCF_001061155.1
ASM106123v1	SAMN03197178	GCF_001061235.1
ASM106135v1	SAMN03197224	GCF_001061355.1
ASM106137v1	SAMN03197230	GCF_001061375.1
ASM106138v1	SAMN03197234	GCF_001061385.1
ASM106140v1	SAMN03197246	GCF_001061405.1
ASM106152v1	SAMN03197292	GCF_001061525.1
ASM106154v1	SAMN03197298	GCF_001061545.1
ASM106155v1	SAMN03197301	GCF_001061555.1
ASM106169v1	SAMN03197336	GCF_001061695.1
ASM106173v1	SAMN03196978	GCF_001061735.1
ASM106185v1	SAMN03197041	GCF_001061855.1
ASM106193v1	SAMN03197054	GCF_001061935.1
ASM106195v1	SAMN03197058	GCF_001061955.1
ASM106196v1	SAMN03197076	GCF_001061965.1
ASM106199v1	SAMN03197080	GCF_001061995.1
ASM106200v1	SAMN03197086	GCF_001062005.1
ASM106203v1	SAMN03197093	GCF_001062035.1
ASM106207v1	SAMN03197111	GCF_001062075.1
ASM106211v1	SAMN03197115	GCF_001062115.1
ASM106215v1	SAMN03197131	GCF_001062155.1
ASM106219v1	SAMN03197136	GCF_001062195.1
ASM106227v1	SAMN03197155	GCF_001062275.1
ASM106235v1	SAMN03197191	GCF_001062355.1
ASM106245v1	SAMN03197222	GCF_001062455.1
ASM106247v1	SAMN03197225	GCF_001062475.1
ASM106248v1	SAMN03197226	GCF_001062485.1
ASM106249v1	SAMN03197229	GCF_001062495.1
ASM106255v1	SAMN03197232	GCF_001062555.1
ASM106261v1	SAMN03197263	GCF_001062615.1
ASM106270v1	SAMN03197296	GCF_001062705.1
ASM106273v1	SAMN03197302	GCF_001062735.1
ASM106296v1	SAMN03197410	GCF_001062965.1
ASM106359v1	SAMN03197705	GCF_001063595.1
ASM106367v1	SAMN03197748	GCF_001063675.1
ASM106370v1	SAMN03197771	GCF_001063705.1
ASM106388v1	SAMN03197360	GCF_001063885.1
ASM106389v1	SAMN03197364	GCF_001063895.1
ASM106395v1	SAMN03197384	GCF_001063955.1
ASM106405v1	SAMN03197419	GCF_001064055.1
ASM106406v1	SAMN03197420	GCF_001064065.1
ASM106413v1	SAMN03197442	GCF_001064135.1
ASM106417v1	SAMN03197447	GCF_001064175.1
ASM106421v1	SAMN03197459	GCF_001064215.1
ASM106425v1	SAMN03197462	GCF_001064255.1
ASM106429v1	SAMN03197471	GCF_001064295.1
ASM106455v1	SAMN03197516	GCF_001064555.1
ASM106479v1	SAMN03197585	GCF_001064795.1
ASM106501v1	SAMN03197653	GCF_001065015.1
ASM106519v1	SAMN03197677	GCF_001065195.1
ASM106521v1	SAMN03197682	GCF_001065215.1
ASM106528v1	SAMN03197704	GCF_001065285.1
ASM106531v1	SAMN03197713	GCF_001065315.1
ASM106535v1	SAMN03197736	GCF_001065355.1
ASM106543v1	SAMN03197761	GCF_001065435.1
ASM106544v1	SAMN03197773	GCF_001065445.1
ASM106547v1	SAMN03197776	GCF_001065475.1
ASM106555v1	SAMN03197787	GCF_001065555.1
ASM106559v1	SAMN03197803	GCF_001065595.1
ASM106589v1	SAMN03197876	GCF_001065895.1
ASM106597v1	SAMN03197893	GCF_001065975.1
ASM106602v1	SAMN03197922	GCF_001066025.1
ASM106634v1	SAMN03198021	GCF_001066345.1
ASM106635v1	SAMN03198024	GCF_001066355.1
ASM106642v1	SAMN03198029	GCF_001066425.1
ASM106649v1	SAMN03198034	GCF_001066495.1
ASM106681v1	SAMN03197872	GCF_001066815.1
ASM106687v1	SAMN03197878	GCF_001066875.1
ASM106690v1	SAMN03197897	GCF_001066905.1
ASM106698v1	SAMN03197904	GCF_001066985.1
ASM106705v1	SAMN03197919	GCF_001067055.1
ASM106707v1	SAMN03197924	GCF_001067075.1
ASM106718v1	SAMN03197964	GCF_001067185.1
ASM106729v1	SAMN03197990	GCF_001067295.1
ASM106741v1	SAMN03198023	GCF_001067415.1
ASM106744v1	SAMN03198028	GCF_001067445.1
ASM106750v1	SAMN03198047	GCF_001067505.1
ASM106770v1	SAMN03198170	GCF_001067705.1
ASM106773v1	SAMN03198194	GCF_001067735.1
ASM106812v1	SAMN03198140	GCF_001068125.1
ASM106815v1	SAMN03198156	GCF_001068155.1
ASM106823v1	SAMN03198174	GCF_001068235.1
ASM106825v1	SAMN03198175	GCF_001068255.1
ASM106826v1	SAMN03198176	GCF_001068265.1
ASM106831v1	SAMN03198195	GCF_001068315.1
ASM107616v1	SAMN03197299	GCF_001076165.1
ASM107651v1	SAMN03197670	GCF_001076515.1
ASM107866v1	SAMN03774725	GCF_001078665.1
8489_7#61	SAMEA1569610	GCF_001086885.1
8489_7#50	SAMEA1569574	GCF_001091885.1
8489_7#41	SAMEA1569627	GCF_001113025.1
8489_7#58	SAMEA1569604	GCF_001113685.1
